Date,Name,Year,Letterboxd URI
2023-07-02,Take Care of Maya,2023,https://boxd.it/GawY
2023-07-02,There Will Be Blood,2007,https://boxd.it/20Z2
2023-07-02,Casablanca,1942,https://boxd.it/2aG0
2023-07-03,Maurice,1987,https://boxd.it/1tZy
2023-07-07,Yoru no tobari no monogatari: Samenai yume,2013,https://boxd.it/yP20
2023-07-13,Navalny,2021,https://boxd.it/yV2g
2023-07-14,A Journey Through Fairyland,1985,https://boxd.it/3S42
2023-07-14,Water,2005,https://boxd.it/20Sq
2023-07-14,The Chosen Ones,2015,https://boxd.it/b6uW
2023-07-14,Flowers for Algernon,2000,https://boxd.it/1o7w
2023-07-14,Beasts of No Nation,2015,https://boxd.it/8Lp8
2023-07-14,Boys Don't Cry,1999,https://boxd.it/2aPG
2023-07-15,Pray the Devil Back to Hell,2008,https://boxd.it/18aE
2023-07-15,Just Like Home,2007,https://boxd.it/1L8M
2023-07-15,State of the Nation,2002,https://boxd.it/48qo
2023-07-15,Far from Vietnam,1967,https://boxd.it/1beO
2023-07-24,Pathfinder,1987,https://boxd.it/27hm
2023-07-24,The Kautokeino Rebellion,2008,https://boxd.it/1QzS
2023-08-03,Scenes from a Marriage,2021,https://boxd.it/wzSU
2023-08-03,Scenes from a Marriage,1974,https://boxd.it/4kJC
2023-08-03,La Bohème,1994,https://boxd.it/9gk4
2023-08-03,Strictly Ballroom,1992,https://boxd.it/1WkY
2023-08-03,Australia,2008,https://boxd.it/21fk
2023-08-07,Black Girl,1966,https://boxd.it/3jIQ
2023-08-07,Moolaadé,2004,https://boxd.it/13w6
2023-08-07,Mandabi,1968,https://boxd.it/3pi0
2023-08-07,Xala,1975,https://boxd.it/2Eb2
2023-08-07,The Wagoner,1963,https://boxd.it/2uNg
2023-08-07,Emitaï,1971,https://boxd.it/4cso
2023-08-07,Faat Kiné,2001,https://boxd.it/47ZM
2023-08-07,Guelwaar,1992,https://boxd.it/45g6
2023-08-07,Niaye,1964,https://boxd.it/8Qtk
2023-08-07,Tauw,1970,https://boxd.it/93ik
2023-08-14,Lilya 4-ever,2002,https://boxd.it/1SyW
2023-08-14,Heartist,2023,https://boxd.it/FJTw
2023-08-14,Molly's Game,2017,https://boxd.it/dSl8
2023-08-15,Poor Things,2023,https://boxd.it/tNWU
2023-09-01,The Thin Red Line,1998,https://boxd.it/1ZTM
2023-09-12,Jodhaa Akbar,2008,https://boxd.it/1OOw
2023-09-12,Dangerous Liaisons,1988,https://boxd.it/29r4
2023-09-12,The Last of the Mohicans,1992,https://boxd.it/1YSo
2023-09-12,Anna Karenina,2012,https://boxd.it/3lyy
